Date time,Max temp,Min temp
2017-12-21,33.5,21.7
2017-12-22,33.1,21.2
2017-12-23,33.1,22.8
2017-12-24,33.2,20.4
2017-12-25,32.8,20.1
2017-12-26,33.6,21.2
2017-12-27,33.3,21.4
2017-12-28,34.0,21.9
2017-12-29,33.9,23.1
2017-12-30,35.1,21.0
2017-12-31,33.6,21.5
2018-01-01,33.9,22.3
2018-01-02,34.5,25.1
2018-01-03,36.6,26.7
2018-01-04,36.9,24.9
2018-01-05,32.7,22.8
2018-01-06,32.0,22.9
2018-01-07,31.5,24.0
2018-01-08,31.8,22.5
2018-01-09,32.9,23.1
2018-01-10,32.2,23.1
2018-01-11,30.8,23.1
2018-01-12,31.8,23.2
2018-01-13,32.4,21.2
2018-01-14,32.3,20.3
2018-01-15,33.6,23.0
2018-01-16,32.1,22.9
2018-01-17,28.3,22.0
2018-01-18,31.2,22.9
2018-01-19,27.3,23.5
2018-01-20,30.1,22.7
2018-01-21,29.6,23.1
2018-01-22,30.7,23.5
2018-01-23,32.2,24.2
2018-01-24,31.9,23.7
2018-01-25,32.2,23.8
2018-01-26,29.7,24.6
2018-01-27,31.8,24.7
2018-01-28,31.4,23.7
2018-01-29,32.4,23.2
2018-01-30,31.9,22.7
2018-01-31,32.7,24.2
2018-02-01,33.4,22.7
2018-02-02,33.4,23.3
2018-02-03,32.7,22.9
2018-02-04,33.3,25.2
2018-02-05,26.7,23.8
2018-02-06,26.4,23.5
2018-02-07,29.9,23.6
2018-02-08,30.0,23.3
2018-02-09,29.6,21.8
2018-02-10,30.8,20.1
2018-02-11,31.2,20.8
2018-02-12,31.4,18.9
2018-02-13,32.6,20.1
2018-02-14,33.0,21.4
2018-02-15,,23.1
2018-02-16,34.7,24.5
2018-02-17,33.3,23.4
2018-02-18,33.0,22.5
2018-02-19,32.6,23.5
2018-02-20,32.8,23.8
2018-02-21,29.5,23.5
2018-02-22,28.5,23.2
2018-02-23,30.9,24.1
2018-02-24,31.3,23.2
2018-02-25,31.4,23.5
2018-02-26,33.4,22.5
2018-02-27,32.7,24.9
2018-02-28,32.2,23.7
2018-03-01,32.3,24.2
2018-03-02,32.6,24.1
2018-03-03,31.9,23.5
2018-03-04,30.4,24.1
2018-03-05,32.1,23.5
2018-03-06,30.6,22.2
2018-03-07,28.1,24.0
2018-03-08,26.6,23.9
2018-03-09,27.9,24.1
2018-03-10,30.5,22.7
2018-03-11,28.9,23.4
2018-03-12,30.8,22.4
2018-03-13,29.1,20.9
2018-03-14,31.4,19.7
2018-03-15,31.1,23.8
2018-03-16,31.4,20.1
2018-03-17,31.6,21.0
2018-03-18,31.1,23.9
2018-03-19,30.4,23.5
2018-03-20,31.6,22.8
2018-03-21,30.8,22.9
2018-03-22,29.5,23.5
2018-03-23,30.0,22.7
2018-03-24,27.8,24.1
2018-03-25,27.0,23.3
2018-03-26,31.5,23.0
2018-03-27,28.8,24.0
2018-03-28,32.0,24.0
2018-03-29,31.5,24.9
2018-03-30,33.9,19.3
2018-03-31,32.7,22.5
2018-04-01,31.7,24.0
2018-04-02,31.5,24.1
2018-04-03,32.3,23.8
2018-04-04,32.1,20.4
2018-04-05,31.2,21.4
2018-04-06,31.2,23.6
2018-04-07,31.7,23.7
2018-04-08,31.7,24.6
2018-04-09,31.2,24.7
2018-04-10,31.0,22.8
2018-04-11,30.0,23.2
2018-04-12,29.0,21.7
2018-04-13,31.2,21.7
2018-04-14,31.5,22.0
2018-04-15,31.8,22.8
2018-04-16,28.6,24.0
2018-04-17,30.4,23.2
2018-04-18,30.0,23.8
2018-04-19,29.7,22.6
2018-04-20,30.3,18.5
2018-04-21,29.7,19.6
2018-04-22,30.4,18.6
2018-04-23,29.4,18.9
2018-04-24,30.1,20.4
2018-04-25,29.9,16.6
2018-04-26,30.5,15.4
2018-04-27,30.3,14.7
2018-04-28,30.0,15.7
2018-04-29,29.2,20.9
2018-04-30,27.8,17.2
2018-05-01,27.8,18.9
2018-05-02,28.2,20.5
2018-05-03,28.7,19.5
2018-05-04,29.2,18.2
2018-05-05,29.2,22.8
2018-05-06,28.7,21.8
2018-05-07,28.6,21.2
2018-05-08,28.5,20.0
2018-05-09,30.0,21.7
2018-05-10,29.8,19.2
2018-05-11,30.6,20.1
2018-05-12,29.4,18.6
2018-05-13,27.5,18.6
2018-05-14,27.4,14.4
2018-05-15,27.3,12.2
2018-05-16,28.2,18.3
2018-05-17,23.8,21.2
2018-05-18,26.0,20.9
2018-05-19,26.7,22.0
2018-05-20,25.3,21.7
2018-05-21,26.7,21.4
2018-05-22,26.2,21.5
2018-05-23,27.2,19.6
2018-05-24,26.6,19.4
2018-05-25,26.0,20.1
2018-05-26,26.7,20.3
2018-05-27,27.3,21.2
2018-05-28,27.5,20.5
2018-05-29,24.2,20.6
2018-05-30,27.1,20.4
2018-05-31,27.3,13.8
2018-06-01,25.7,15.2
2018-06-02,25.8,10.9
2018-06-03,25.2,10.7
2018-06-04,25.3,10.7
2018-06-05,25.7,9.1
2018-06-06,26.8,11.6
2018-06-07,26.9,16.9
2018-06-08,27.0,14.0
2018-06-09,28.5,15.4
2018-06-10,26.6,20.2
2018-06-11,28.4,14.1
2018-06-12,27.6,13.5
2018-06-13,27.6,14.0
2018-06-14,27.3,14.0
2018-06-15,28.4,15.0
2018-06-16,28.3,17.5
2018-06-17,27.6,18.6
2018-06-18,26.5,17.7
2018-06-19,24.5,15.9
2018-06-20,24.5,8.6
2018-06-21,25.6,11.1
2018-06-22,27.3,12.4
2018-06-23,23.7,18.7
2018-06-24,23.1,18.8
2018-06-25,26.1,19.1
2018-06-26,26.8,19.4
2018-06-27,26.3,19.7
2018-06-28,26.8,20.8
2018-06-29,26.8,21.3
2018-06-30,23.5,21.6
2018-07-01,25.1,21.1
2018-07-02,25.7,20.4
2018-07-03,26.4,19.6
2018-07-04,26.5,19.7
2018-07-05,26.2,18.5
2018-07-06,27.3,16.4
2018-07-07,27.4,16.5
2018-07-08,26.4,20.6
2018-07-09,23.6,17.2
2018-07-10,24.1,10.1
2018-07-11,25.9,17.0
2018-07-12,26.5,15.9
2018-07-13,26.5,13.5
2018-07-14,26.1,13.2
2018-07-15,25.9,12.7
2018-07-16,28.7,15.7
2018-07-17,27.5,15.4
2018-07-18,24.4,19.9
2018-07-19,26.0,18.4
2018-07-20,27.6,15.9
2018-07-21,27.5,17.2
2018-07-22,27.3,13.8
2018-07-23,27.1,17.5
2018-07-24,26.8,16.0
2018-07-25,27.8,17.0
2018-07-26,27.4,15.2
2018-07-27,26.5,14.6
2018-07-28,27.1,14.0
2018-07-29,27.4,13.9
2018-07-30,28.2,15.7
2018-07-31,26.9,12.6
2018-08-01,27.1,13.0
2018-08-02,27.1,16.1
2018-08-03,,15.9
2018-08-04,28.1,16.2
2018-08-05,27.4,15.8
2018-08-06,27.9,17.0
2018-08-07,29.2,17.3
2018-08-08,26.7,19.1
2018-08-09,27.2,16.1
2018-08-10,26.2,12.1
2018-08-11,26.7,13.2
2018-08-12,28.3,13.8
2018-08-13,27.8,13.3
2018-08-14,26.0,17.0
2018-08-15,26.4,13.5
2018-08-16,27.9,16.1
2018-08-17,28.8,18.8
2018-08-18,28.8,14.0
2018-08-19,29.4,11.1
2018-08-20,26.7,8.4
2018-08-21,25.2,9.2
2018-08-22,27.3,11.2
2018-08-23,27.5,13.1
2018-08-24,28.1,15.8
2018-08-25,28.0,17.9
2018-08-26,29.4,16.1
2018-08-27,29.9,16.7
2018-08-28,28.0,13.8
2018-08-29,27.8,15.4
2018-08-30,27.8,16.5
2018-08-31,28.0,13.9
2018-09-01,28.6,15.1
2018-09-02,30.5,15.8
2018-09-03,30.7,16.1
2018-09-04,29.4,12.8
2018-09-05,28.9,15.8
2018-09-06,28.9,15.7
2018-09-07,29.9,17.1
2018-09-08,30.6,16.9
2018-09-09,30.2,16.4
2018-09-10,29.0,15.4
2018-09-11,28.2,19.3
2018-09-12,28.8,17.9
2018-09-13,28.9,17.9
2018-09-14,29.5,18.6
2018-09-15,29.5,15.8
2018-09-16,31.1,14.6
2018-09-17,31.3,14.5
2018-09-18,28.9,18.2
2018-09-19,29.2,17.8
2018-09-20,29.3,15.0
2018-09-21,30.3,14.6
2018-09-22,28.9,21.2
2018-09-23,27.2,19.2
2018-09-24,27.6,18.6
2018-09-25,28.3,16.6
2018-09-26,28.4,15.8
2018-09-27,29.4,15.1
2018-09-28,29.1,14.8
2018-09-29,29.1,18.0
2018-09-30,29.3,18.7
2018-10-01,29.1,20.5
2018-10-02,27.9,20.0
2018-10-03,27.3,19.4
2018-10-04,28.8,15.8
2018-10-05,28.8,15.0
2018-10-06,29.5,18.5
2018-10-07,29.3,21.6
2018-10-08,29.6,19.0
2018-10-09,30.0,19.4
2018-10-10,30.8,17.9
2018-10-11,30.5,17.9
2018-10-12,31.0,18.3
2018-10-13,30.6,22.9
2018-10-14,29.4,22.8
2018-10-15,31.2,22.4
2018-10-16,31.6,22.3
2018-10-17,31.4,21.8
2018-10-18,31.1,21.4
2018-10-19,32.7,22.6
2018-10-20,32.3,20.2
2018-10-21,31.7,19.5
2018-10-22,31.2,20.6
2018-10-23,31.7,22.4
2018-10-24,33.1,21.5
2018-10-25,31.9,19.2
2018-10-26,33.3,19.5
2018-10-27,32.0,18.7
2018-10-28,31.4,15.5
2018-10-29,32.2,19.5
2018-10-30,33.4,25.0
2018-10-31,32.2,22.6
2018-11-01,32.7,21.7
2018-11-02,30.6,23.3
2018-11-03,30.8,22.7
2018-11-04,31.5,22.9
2018-11-05,32.0,22.9
2018-11-06,33.2,20.1
2018-11-07,32.0,19.9
2018-11-08,32.3,20.2
2018-11-09,31.9,22.5
2018-11-10,32.9,23.3
2018-11-11,31.1,23.2
2018-11-12,31.7,22.8
2018-11-13,31.8,20.4
2018-11-14,32.1,20.1
2018-11-15,33.0,20.3
2018-11-16,32.6,20.2
2018-11-17,32.2,18.4
2018-11-18,32.4,18.8
2018-11-19,32.3,20.2
2018-11-20,33.0,20.9
2018-11-21,31.8,21.5
2018-11-22,32.6,23.5
2018-11-23,33.0,24.0
2018-11-24,33.5,24.5
2018-11-25,36.6,24.1
2018-11-26,43.6,24.8
2018-11-27,43.6,24.7
2018-11-28,41.8,26.3
2018-11-29,40.1,24.9
2018-11-30,37.6,22.6
2018-12-01,37.6,21.6
2018-12-02,35.0,24.8
2018-12-03,35.0,23.1
2018-12-04,34.0,24.6
2018-12-05,33.4,26.1
2018-12-06,32.9,23.8
2018-12-07,32.1,23.1
2018-12-08,29.8,22.4
2018-12-09,26.4,23.1
2018-12-10,29.4,23.5
2018-12-11,32.4,24.4
2018-12-12,32.9,24.9
2018-12-13,32.6,24.8
2018-12-14,30.2,22.7
2018-12-15,29.5,25.0
2018-12-16,35.9,25.6
2018-12-17,37.1,22.3
2018-12-18,38.8,21.5
2018-12-19,34.4,24.3
2018-12-20,34.0,24.9
2018-12-21,34.9,24.1
2018-12-22,33.6,25.2
2018-12-23,33.8,25.4
2018-12-24,27.3,24.2
2018-12-25,28.2,23.9
2018-12-26,27.5,24.5
2018-12-27,29.0,24.3
2018-12-28,30.4,24.5
2018-12-29,28.7,24.3
2018-12-30,28.9,23.7
2018-12-31,30.2,24.7
2019-01-01,31.0,24.7
2019-01-02,30.8,23.9
2019-01-03,31.8,21.0
2019-01-04,32.4,20.5
2019-01-05,31.2,23.7
2019-01-06,32.1,21.3
2019-01-07,33.3,21.1
2019-01-08,32.3,23.5
2019-01-09,35.6,24.0
2019-01-10,35.5,24.0
2019-01-11,31.5,24.5
2019-01-12,28.8,23.9
2019-01-13,30.7,22.6
2019-01-14,30.0,23.9
2019-01-15,30.4,24.1
2019-01-16,31.4,23.9
2019-01-17,31.5,21.6
2019-01-18,31.4,22.1
2019-01-19,30.1,24.1
2019-01-20,31.1,23.4
2019-01-21,30.2,23.1
2019-01-22,30.7,21.7
2019-01-23,29.7,23.4
2019-01-24,30.6,24.6
2019-01-25,27.1,24.1
2019-01-26,25.0,23.5
2019-01-27,27.7,22.9
2019-01-28,31.5,24.2
2019-01-29,29.8,25.6
2019-01-30,29.5,25.6
2019-01-31,29.7,25.7
2019-02-01,29.5,24.6
2019-02-02,30.7,24.2
2019-02-03,31.2,24.9
2019-02-04,30.7,24.9
2019-02-05,30.8,24.7
2019-02-06,31.7,25.1
2019-02-07,31.2,24.6
2019-02-08,32.4,24.9
2019-02-09,32.0,24.7
2019-02-10,37.6,22.7
2019-02-11,37.2,25.5
2019-02-12,37.0,23.4
2019-02-13,37.4,21.9
2019-02-14,38.7,21.7
2019-02-15,32.9,24.8
2019-02-16,32.6,24.0
2019-02-17,32.7,22.6
2019-02-18,31.7,24.2
2019-02-19,36.7,24.4
2019-02-20,37.5,
2019-02-21,39.5,26.3
2019-02-22,35.3,21.6
2019-02-23,33.6,24.2
2019-02-24,28.4,23.2
2019-02-25,31.4,23.6
2019-02-26,30.8,22.7
2019-02-27,30.6,22.6
2019-02-28,30.1,22.3
2019-03-01,30.2,22.8
2019-03-02,29.4,22.9
2019-03-03,29.5,22.3
2019-03-04,30.5,22.8
2019-03-05,31.9,21.8
2019-03-06,31.8,23.0
2019-03-07,31.4,22.8
2019-03-08,30.6,25.2
2019-03-09,30.5,23.9
2019-03-10,29.6,25.0
2019-03-11,31.7,22.5
2019-03-12,31.9,21.5
2019-03-13,32.4,23.0
2019-03-14,32.2,23.0
2019-03-15,31.9,23.3
2019-03-16,32.0,23.7
2019-03-17,31.4,24.3
2019-03-18,28.4,23.9
2019-03-19,29.9,24.3
2019-03-20,26.7,23.6
2019-03-21,25.0,23.3
2019-03-22,28.6,22.2
2019-03-23,31.8,23.8
2019-03-24,31.6,24.1
2019-03-25,31.1,24.1
2019-03-26,31.5,24.1
2019-03-27,32.3,24.3
2019-03-28,31.9,24.4
2019-03-29,30.6,25.0
2019-03-30,32.1,24.5
2019-03-31,31.3,24.1
