Date time,Amount
2018-May-22,0.2
2018-May-23,0
2018-May-24,0
2018-May-25,0
2018-May-26,27
2018-May-27,19
2018-May-28,14
2018-May-29,9
2018-May-30,7
2018-May-31,0
2018-Jun-1,0
2018-Jun-2,0
2018-Jun-3,0
2018-Jun-4,0
2018-Jun-5,0
2018-Jun-6,0
2018-Jun-7,0
2018-Jun-8,2
2018-Jun-9,0
2018-Jun-10,2
2018-Jun-11,0.6
2018-Jun-12,0
2018-Jun-13,0
2018-Jun-14,0
2018-Jun-15,0
2018-Jun-16,0
2018-Jun-17,0
2018-Jun-18,0
2018-Jun-19,0
2018-Jun-20,0
2018-Jun-21,0
2018-Jun-22,0
2018-Jun-23,5
2018-Jun-24,12
2018-Jun-25,18
2018-Jun-26,5
2018-Jun-27,4
2018-Jun-28,13
2018-Jun-29,20
2018-Jun-30,7
2018-Jul-1,8
2018-Jul-2,71
2018-Jul-3,3
2018-Jul-4,2
2018-Jul-5,0
2018-Jul-6,0
2018-Jul-7,0
2018-Jul-8,1
2018-Jul-9,0
2018-Jul-10,0
2018-Jul-11,1
2018-Jul-12,0
2018-Jul-13,0.4
2018-Jul-14,0
2018-Jul-15,0
2018-Jul-16,0
2018-Jul-17,0
2018-Jul-18,0.2
2018-Jul-19,8
2018-Jul-20,0.6
2018-Jul-21,0
2018-Jul-22,0
2018-Jul-23,4.2
2018-Jul-24,0.4
2018-Jul-25,2
2018-Jul-26,0.4
2018-Jul-27,0
2018-Jul-28,0
2018-Jul-29,0
2018-Jul-30,0
2018-Jul-31,0
2018-Aug-1,0
2018-Aug-2,0
2018-Aug-3,0.2
2018-Aug-4,0
2018-Aug-5,0
2018-Aug-6,0
2018-Aug-7,0
2018-Aug-8,0
2018-Aug-9,0
2018-Aug-10,0
2018-Aug-11,1
2018-Aug-12,0
2018-Aug-13,0
2018-Aug-14,0
2018-Aug-15,3
2018-Aug-16,0
2018-Aug-17,1
2018-Aug-18,1
2018-Aug-19,0
2018-Aug-20,0
2018-Aug-21,0
2018-Aug-22,0
2018-Aug-23,0
2018-Aug-24,0
2018-Aug-25,0
2018-Aug-26,0
2018-Aug-27,0
2018-Aug-28,0
2018-Aug-29,0
2018-Aug-30,0
2018-Aug-31,0
2018-Sep-1,0
2018-Sep-2,0
2018-Sep-3,0
2018-Sep-4,0
2018-Sep-5,0
2018-Sep-6,0
2018-Sep-7,0.4
2018-Sep-8,0
2018-Sep-9,0
2018-Sep-10,0
2018-Sep-11,1.4
2018-Sep-12,1.8
2018-Sep-13,0.2
2018-Sep-14,5.6
2018-Sep-15,0
2018-Sep-16,0.2
